2026-09-13 01:20:14,338 | INFO | src.trainer.trainer | Epoch 11/60 learning rate set to 9.37699e-05
2026-09-13 01:22:12,810 | INFO | src.trainer.trainer | Epoch 11/60 train_loss=0.728387
2026-09-13 01:22:30,817 | INFO | src.trainer.history | Epoch 11 metrics saved at 2026-09-13 01:22:30: {'train_loss': 0.7283872809264955, 'lr': 9.376993366272128e-05, 'val_loss': 1.9797131717205048, 'val_accuracy': 0.31157894736842107, 'val_precision': 0.2932342808687408, 'val_recall': 0.264118082788671, 'val_f1': 0.27465017744078046, 'val_image_accuracy': 0.2631578947368421, 'val_image_precision': 0.2458145363408521, 'val_image_recall': 0.2223529411764706, 'val_image_f1': 0.2310035337899115}
2026-09-13 01:22:30,817 | INFO | src.trainer.trainer | Epoch 11/60 val_f1=0.27465017744078046 val_image_f1=0.2310035337899115
2026-09-13 01:22:30,817 | INFO | src.trainer.trainer | Epoch 12/60 learning rate set to 9.24991e-05
2026-09-13 01:24:29,604 | INFO | src.trainer.trainer | Epoch 12/60 train_loss=0.712345
2026-09-13 01:24:47,575 | INFO | src.trainer.history | Epoch 12 metrics saved at 2026-09-13 01:24:47: {'train_loss': 0.7123450028852082, 'lr': 9.249912635871318e-05, 'val_loss': 1.633409199170899, 'val_accuracy': 0.44842105263157894, 'val_precision': 0.38171993656856795, 'val_recall': 0.3839013071895424, 'val_f1': 0.3650321087172957, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.4156862745098039, 'val_image_recall': 0.41954248366013075, 'val_image_f1': 0.372338720103426}
2026-09-13 01:24:47,575 | INFO | src.trainer.trainer | Epoch 12/60 val_f1=0.3650321087172957 val_image_f1=0.372338720103426
2026-09-13 01:24:47,575 | INFO | src.trainer.trainer | Epoch 13/60 learning rate set to 9.1122e-05
2026-09-13 01:26:46,364 | INFO | src.trainer.trainer | Epoch 13/60 train_loss=0.694536
2026-09-13 01:27:04,325 | INFO | src.trainer.history | Epoch 13 metrics saved at 2026-09-13 01:27:04: {'train_loss': 0.694536115211651, 'lr': 9.112202370689337e-05, 'val_loss': 1.7471877095887536, 'val_accuracy': 0.42736842105263156, 'val_precision': 0.35668745370629196, 'val_recall': 0.36586710239651415, 'val_f1': 0.3509703864542738, 'val_image_accuracy': 0.5, 'val_image_precision': 0.3953846153846154, 'val_image_recall': 0.42666666666666664, 'val_image_f1': 0.39944055944055945}
2026-09-13 01:27:04,325 | INFO | src.trainer.trainer | Epoch 13/60 val_f1=0.3509703864542738 val_image_f1=0.39944055944055945
2026-09-13 01:27:04,325 | INFO | src.trainer.trainer | Epoch 14/60 learning rate set to 8.96425e-05
2026-09-13 01:29:04,486 | INFO | src.trainer.trainer | Epoch 14/60 train_loss=0.676083
2026-09-13 01:29:22,451 | INFO | src.trainer.history | Epoch 14 metrics saved at 2026-09-13 01:29:22: {'train_loss': 0.6760834142908664, 'lr': 8.964252925434579e-05, 'val_loss': 1.8007129390825305, 'val_accuracy': 0.4224561403508772, 'val_precision': 0.346488991332409, 'val_recall': 0.3634962962962963, 'val_f1': 0.33611911855961635, 'val_image_accuracy': 0.4473684210526316, 'val_image_precision': 0.36067724867724865, 'val_image_recall': 0.38379084967320265, 'val_image_f1': 0.3484143763213531}
2026-09-13 01:29:22,451 | INFO | src.trainer.trainer | Epoch 14/60 val_f1=0.33611911855961635 val_image_f1=0.3484143763213531
2026-09-13 01:29:22,451 | INFO | src.trainer.trainer | Epoch 15/60 learning rate set to 8.80648e-05
2026-09-13 01:31:20,464 | INFO | src.trainer.trainer | Epoch 15/60 train_loss=0.669281
2026-09-13 01:31:38,472 | INFO | src.trainer.history | Epoch 15 metrics saved at 2026-09-13 01:31:38: {'train_loss': 0.6692807622263851, 'lr': 8.806483678883803e-05, 'val_loss': 1.8014388034636515, 'val_accuracy': 0.43201754385964913, 'val_precision': 0.35814263127981283, 'val_recall': 0.3707653594771242, 'val_f1': 0.3481674064655765, 'val_image_accuracy': 0.5263157894736842, 'val_image_precision': 0.43887662337662336, 'val_image_recall': 0.4530718954248366, 'val_image_f1': 0.4080964685615848}
2026-09-13 01:31:38,472 | INFO | src.trainer.trainer | Epoch 15/60 val_f1=0.3481674064655765 val_image_f1=0.4080964685615848
2026-09-13 01:31:38,473 | INFO | src.trainer.trainer | Epoch 16/60 learning rate set to 8.63934e-05
2026-09-13 01:33:37,610 | INFO | src.trainer.trainer | Epoch 16/60 train_loss=0.653152
2026-09-13 01:33:55,585 | INFO | src.trainer.history | Epoch 16 metrics saved at 2026-09-13 01:33:55: {'train_loss': 0.653152146583676, 'lr': 8.639341845107433e-05, 'val_loss': 1.7931715828598591, 'val_accuracy': 0.4107456140350877, 'val_precision': 0.39273200928682067, 'val_recall': 0.35315141612200435, 'val_f1': 0.3457736441640565, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.3887445887445887, 'val_image_recall': 0.3596078431372549, 'val_image_f1': 0.3443019943019943}
2026-09-13 01:33:55,586 | INFO | src.trainer.trainer | Epoch 16/60 val_f1=0.3457736441640565 val_image_f1=0.3443019943019943
2026-09-13 01:33:55,586 | INFO | src.trainer.trainer | Epoch 17/60 learning rate set to 8.4633e-05
2026-09-13 01:35:54,822 | INFO | src.trainer.trainer | Epoch 17/60 train_loss=0.646952
2026-09-13 01:36:12,783 | INFO | src.trainer.history | Epoch 17 metrics saved at 2026-09-13 01:36:12: {'train_loss': 0.6469518813258556, 'lr': 8.463301205792675e-05, 'val_loss': 1.7384701850016913, 'val_accuracy': 0.4424561403508772, 'val_precision': 0.3912635258114606, 'val_recall': 0.38286296296296296, 'val_f1': 0.3694149360265929, 'val_image_accuracy': 0.47368421052631576, 'val_image_precision': 0.39684491978609626, 'val_image_recall': 0.4079738562091504, 'val_image_f1': 0.36611911761087396}
2026-09-13 01:36:12,783 | INFO | src.trainer.trainer | Epoch 17/60 val_f1=0.3694149360265929 val_image_f1=0.36611911761087396
2026-09-13 01:36:12,783 | INFO | src.trainer.trainer | Epoch 18/60 learning rate set to 8.27886e-05
2026-09-13 01:38:11,488 | INFO | src.trainer.trainer | Epoch 18/60 train_loss=0.626021
2026-09-13 01:38:29,447 | INFO | src.trainer.history | Epoch 18 metrics saved at 2026-09-13 01:38:29: {'train_loss': 0.6260211271326367, 'lr': 8.278860767257865e-05, 'val_loss': 1.913572489138235, 'val_accuracy': 0.42447368421052634, 'val_precision': 0.3579347285760538, 'val_recall': 0.36757080610021786, 'val_f1': 0.3327757023045566, 'val_image_accuracy': 0.4473684210526316, 'val_image_precision': 0.3366233766233766, 'val_image_recall': 0.3884313725490196, 'val_image_f1': 0.32553488372093026}
2026-09-13 01:38:29,447 | INFO | src.trainer.trainer | Epoch 18/60 val_f1=0.3327757023045566 val_image_f1=0.32553488372093026
2026-09-13 01:38:29,447 | INFO | src.trainer.trainer | Epoch 19/60 learning rate set to 8.08654e-05
2026-09-13 01:40:27,699 | INFO | src.trainer.trainer | Epoch 19/60 train_loss=0.623913
2026-09-13 01:40:45,639 | INFO | src.trainer.history | Epoch 19 metrics saved at 2026-09-13 01:40:45: {'train_loss': 0.6239127870020197, 'lr': 8.086543345964832e-05, 'val_loss': 1.745653383982809, 'val_accuracy': 0.4743859649122807, 'val_precision': 0.39906289047365634, 'val_recall': 0.4082631808278866, 'val_f1': 0.3714227371937155, 'val_image_accuracy': 0.5131578947368421, 'val_image_precision': 0.43640336134453783, 'val_image_recall': 0.44307189542483655, 'val_image_f1': 0.38714791820126976}
2026-09-13 01:40:45,639 | INFO | src.trainer.trainer | Epoch 19/60 val_f1=0.3714227371937155 val_image_f1=0.38714791820126976
2026-09-13 01:40:45,639 | INFO | src.trainer.trainer | Epoch 20/60 learning rate set to 7.88689e-05
2026-09-13 01:42:43,700 | INFO | src.trainer.trainer | Epoch 20/60 train_loss=0.616309
2026-09-13 01:43:01,658 | INFO | src.trainer.history | Epoch 20 metrics saved at 2026-09-13 01:43:01: {'train_loss': 0.6163090189244894, 'lr': 7.886894086538841e-05, 'val_loss': 1.7514487000933865, 'val_accuracy': 0.4367105263157895, 'val_precision': 0.3864273977672452, 'val_recall': 0.3747858387799564, 'val_f1': 0.3654770051340132, 'val_image_accuracy': 0.5, 'val_image_precision': 0.42327272727272724, 'val_image_recall': 0.4242483660130719, 'val_image_f1': 0.4031809539686509}
2026-09-13 01:43:01,659 | INFO | src.trainer.trainer | Epoch 20/60 val_f1=0.3654770051340132 val_image_f1=0.4031809539686509
2026-09-13 01:43:01,659 | INFO | src.trainer.trainer | Epoch 21/60 learning rate set to 7.68048e-05
2026-09-13 01:44:58,075 | INFO | src.trainer.trainer | Epoch 21/60 train_loss=0.606473
2026-09-13 01:45:16,061 | INFO | src.trainer.history | Epoch 21 metrics saved at 2026-09-13 01:45:16: {'train_loss': 0.6064732597399927, 'lr': 7.680478916496926e-05, 'val_loss': 1.7520433186334476, 'val_accuracy': 0.43894736842105264, 'val_precision': 0.3826523514145816, 'val_recall': 0.37669193899782133, 'val_f1': 0.36090270992543627, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.42857142857142855, 'val_image_recall': 0.41843137254901963, 'val_image_f1': 0.37849002849002844}
2026-09-13 01:45:16,061 | INFO | src.trainer.trainer | Epoch 21/60 val_f1=0.36090270992543627 val_image_f1=0.37849002849002844
2026-09-13 01:45:16,061 | INFO | src.trainer.trainer | Early stopping at epoch 21 (val_f1 did not improve for 20 evals)
2026-09-13 01:45:16,110 | INFO | src.trainer.trainer | Saved final model to logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025/model_final.pt
2026-09-13 01:45:16,110 | INFO | src.trainer.trainer | Best model is from epoch 1 (val_f1=0.3776)
2026-09-13 01:45:46,624 | INFO | src.trainer.trainer | Held-out test of best epoch 1: {'test_loss': 1.2060833640862496, 'test_accuracy': 0.48622739018087857, 'test_precision': 0.4821045437325459, 'test_recall': 0.49930319592083655, 'test_f1': 0.45346057510346, 'test_image_accuracy': 0.4883720930232558, 'test_image_precision': 0.4817109929078014, 'test_image_recall': 0.50760746694322, 'test_image_f1': 0.45775239986759353}
2026-09-13 01:45:46,628 | INFO | src.trainer.trainer | Run summary: {'selection_metric': 'val_f1', 'best_epoch': 1, 'best_score': 0.377555028935639, 'stopped_epoch': 21, 'eval_test': 'end', 'best_val': {'val_loss': 1.3882708209753036, 'val_accuracy': 0.48521929824561405, 'val_precision': 0.4027062859717712, 'val_recall': 0.4184285403050108, 'val_f1': 0.377555028935639, 'val_image_accuracy': 0.5131578947368421, 'val_image_precision': 0.43257142857142855, 'val_image_recall': 0.4417647058823529, 'val_image_f1': 0.40318840579710147}, 'best_test': {'test_loss': 1.2060833640862496, 'test_accuracy': 0.48622739018087857, 'test_precision': 0.4821045437325459, 'test_recall': 0.49930319592083655, 'test_f1': 0.45346057510346, 'test_image_accuracy': 0.4883720930232558, 'test_image_precision': 0.4817109929078014, 'test_image_recall': 0.50760746694322, 'test_image_f1': 0.45775239986759353}, 'selected_weights': 'best', 'selected_test': {'test_loss': 1.2060833640862496, 'test_accuracy': 0.48622739018087857, 'test_precision': 0.4821045437325459, 'test_recall': 0.49930319592083655, 'test_f1': 0.45346057510346, 'test_image_accuracy': 0.4883720930232558, 'test_image_precision': 0.4817109929078014, 'test_image_recall': 0.50760746694322, 'test_image_f1': 0.45775239986759353}, 'test_image_f1': 0.45775239986759353, 'test_f1': 0.45346057510346, 'val_image_f1': 0.40318840579710147, 'val_f1': 0.377555028935639, 'swa_val_score': None}
2026-09-13 01:45:46,628 | INFO | __main__ | Experiment finished at 2026-09-13 01:45:46
2026-09-13 01:45:46,699 | INFO | __main__ | Starting sweep run geom_reg
