2026-09-12 23:22:52,610 | INFO | src.trainer.history | Epoch 10 metrics saved at 2026-09-12 23:22:52: {'train_loss': 0.5362312871222152, 'lr': 9.493084337754573e-05, 'val_loss': 1.7842574263351005, 'val_accuracy': 0.4368859649122807, 'val_precision': 0.3702263232757555, 'val_recall': 0.37882069716775596, 'val_f1': 0.36585772529662863, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.4027972027972028, 'val_image_recall': 0.4155555555555555, 'val_image_f1': 0.39578375113258835}
2026-09-12 23:22:52,610 | INFO | src.trainer.trainer | Epoch 10/60 val_f1=0.36585772529662863 val_image_f1=0.39578375113258835
2026-09-12 23:22:52,610 | INFO | src.trainer.trainer | Epoch 11/60 learning rate set to 9.37699e-05
2026-09-12 23:30:23,260 | INFO | src.trainer.trainer | Epoch 11/60 train_loss=0.524077
2026-09-12 23:30:41,141 | INFO | src.trainer.history | Epoch 11 metrics saved at 2026-09-12 23:30:41: {'train_loss': 0.524077332587975, 'lr': 9.376993366272128e-05, 'val_loss': 1.7685626441972297, 'val_accuracy': 0.46030701754385966, 'val_precision': 0.3914441297153143, 'val_recall': 0.3971074074074074, 'val_f1': 0.3725585892591131, 'val_image_accuracy': 0.5131578947368421, 'val_image_precision': 0.4356190476190477, 'val_image_recall': 0.4413071895424837, 'val_image_f1': 0.40131947880587165}
2026-09-12 23:30:41,141 | INFO | src.trainer.trainer | Epoch 11/60 val_f1=0.3725585892591131 val_image_f1=0.40131947880587165
2026-09-12 23:30:41,141 | INFO | src.trainer.trainer | Epoch 12/60 learning rate set to 9.24991e-05
2026-09-12 23:38:13,585 | INFO | src.trainer.trainer | Epoch 12/60 train_loss=0.516754
2026-09-12 23:38:31,489 | INFO | src.trainer.history | Epoch 12 metrics saved at 2026-09-12 23:38:31: {'train_loss': 0.5167541244442408, 'lr': 9.249912635871318e-05, 'val_loss': 1.8578299215383698, 'val_accuracy': 0.45460526315789473, 'val_precision': 0.36969783678014195, 'val_recall': 0.3927814814814815, 'val_f1': 0.3445592893173746, 'val_image_accuracy': 0.5, 'val_image_precision': 0.3978958101594364, 'val_image_recall': 0.43241830065359477, 'val_image_f1': 0.37128387140809505}
2026-09-12 23:38:31,489 | INFO | src.trainer.trainer | Epoch 12/60 val_f1=0.3445592893173746 val_image_f1=0.37128387140809505
2026-09-12 23:38:31,489 | INFO | src.trainer.trainer | Epoch 13/60 learning rate set to 9.1122e-05
2026-09-12 23:46:03,342 | INFO | src.trainer.trainer | Epoch 13/60 train_loss=0.509233
