2026-09-13 05:11:17,533 | INFO | src.trainer.history | Epoch 26 metrics saved at 2026-09-13 05:11:17: {'train_loss': 0.49661876035426933, 'lr': 6.567970149420018e-05, 'val_loss': 1.739165895905411, 'val_accuracy': 0.47210526315789475, 'val_precision': 0.3905453987098991, 'val_recall': 0.40857102396514167, 'val_f1': 0.3661124863010284, 'val_image_accuracy': 0.5263157894736842, 'val_image_precision': 0.43641025641025644, 'val_image_recall': 0.4530718954248366, 'val_image_f1': 0.41063522765650423}
2026-09-13 05:11:17,533 | INFO | src.trainer.trainer | Epoch 26/60 val_f1=0.3661124863010284 val_image_f1=0.41063522765650423
2026-09-13 05:11:17,533 | INFO | src.trainer.trainer | Epoch 27/60 learning rate set to 6.3338e-05
2026-09-13 05:18:53,112 | INFO | src.trainer.trainer | Epoch 27/60 train_loss=0.494233
2026-09-13 05:19:11,091 | INFO | src.trainer.history | Epoch 27 metrics saved at 2026-09-13 05:19:11: {'train_loss': 0.49423305281729013, 'lr': 6.333799258392015e-05, 'val_loss': 1.7932216420612836, 'val_accuracy': 0.4514035087719298, 'val_precision': 0.3958926180866576, 'val_recall': 0.38995403050108934, 'val_f1': 0.3638032807612701, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.3729820788530466, 'val_image_recall': 0.39954248366013073, 'val_image_f1': 0.35076028622540245}
2026-09-13 05:19:11,091 | INFO | src.trainer.trainer | Epoch 27/60 val_f1=0.3638032807612701 val_image_f1=0.35076028622540245
2026-09-13 05:19:11,092 | INFO | src.trainer.trainer | Epoch 28/60 learning rate set to 6.09726e-05
2026-09-13 05:26:42,863 | INFO | src.trainer.trainer | Epoch 28/60 train_loss=0.492780
2026-09-13 05:27:00,824 | INFO | src.trainer.history | Epoch 28 metrics saved at 2026-09-13 05:27:00: {'train_loss': 0.49277966430298736, 'lr': 6.0972648727767494e-05, 'val_loss': 1.7440430476372701, 'val_accuracy': 0.4616228070175439, 'val_precision': 0.4049443882514307, 'val_recall': 0.3978228758169935, 'val_f1': 0.3707367495199777, 'val_image_accuracy': 0.5131578947368421, 'val_image_precision': 0.4630769230769231, 'val_image_recall': 0.4413071895424837, 'val_image_f1': 0.40652019375423637}
2026-09-13 05:27:00,824 | INFO | src.trainer.trainer | Epoch 28/60 val_f1=0.3707367495199777 val_image_f1=0.40652019375423637
2026-09-13 05:27:00,824 | INFO | src.trainer.trainer | Epoch 29/60 learning rate set to 5.85904e-05
2026-09-13 05:34:36,086 | INFO | src.trainer.trainer | Epoch 29/60 train_loss=0.490972
2026-09-13 05:34:54,041 | INFO | src.trainer.history | Epoch 29 metrics saved at 2026-09-13 05:34:54: {'train_loss': 0.4909717912397831, 'lr': 5.859037474988874e-05, 'val_loss': 1.9035312073690849, 'val_accuracy': 0.4156578947368421, 'val_precision': 0.3604480443198724, 'val_recall': 0.3579764705882353, 'val_f1': 0.33561666269403595, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.38441441441441443, 'val_image_recall': 0.36483660130718953, 'val_image_f1': 0.3424664224664225}
