round,test_accuracy,test_f1,test_image_accuracy,test_image_f1,test_image_precision,test_image_recall,test_loss,test_precision,test_recall,train_accuracy,train_f1,train_image_accuracy,train_image_f1,train_image_precision,train_image_recall,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_image_accuracy,val_image_f1,val_image_precision,val_image_recall,val_loss,val_precision,val_recall
11,0.6609061488673138,0.6271671805253247,0.7281553398058253,0.686629680998613,0.7309708737864077,0.7032362459546926,1.1193272110969308,0.6516365290685472,0.6398228694714131,0.9774183150183151,0.9772252628459527,0.9934065934065934,0.9928100974271388,0.993956043956044,0.9922527472527473,0.05489350631178308,0.9773464904023004,0.9775109919709921,0.5404306389906389,0.49741615042059123,0.5757264957264958,0.5105494505494507,0.48823443223443225,0.5790476190476191,2.7745359826003395,0.525526510315313,0.5293076434676435
12,0.6571585760517799,0.6246687789513798,0.7475728155339806,0.7060471567267683,0.7432686084142396,0.7226537216828478,1.2089500189267635,0.6522404103713569,0.6367950377562027,0.9747736263736265,0.9746121924526172,0.9912087912087912,0.990581508716847,0.9926873126873127,0.9903456543456544,0.05204937653944478,0.9757614747466523,0.9752996214896215,0.5306361741961741,0.47863677872827165,0.5658363858363857,0.47888435374149657,0.4554871794871794,0.559047619047619,3.0945977361514547,0.5081578714307535,0.5184825885225886
13,0.6537087378640778,0.6242528437020278,0.7184466019417476,0.6830513176144244,0.7140776699029124,0.696440129449838,1.1502303712523054,0.647978966327629,0.6347536138079828,0.9731501831501832,0.9734549979111522,0.9956043956043956,0.9959348921754937,0.9962237762237763,0.9960439560439561,0.047902038572481195,0.9739191139972898,0.9740690831390831,0.5501136182336183,0.5045670384248322,0.5847374847374847,0.5144259549973836,0.5067692307692307,0.5756776556776557,2.5952918136544683,0.5364546710944176,0.5359976556776557
14,0.6699870550161812,0.6370011890965573,0.7184466019417476,0.6820619509939898,0.7332362459546925,0.698705501618123,1.1178658851124763,0.6526950902833994,0.6506280474649406,0.9858432234432234,0.9861896573139548,1.0,1.0,1.0,1.0,0.04598903976172045,0.986322572966145,0.9864988433048432,0.5455076923076922,0.49957429074462584,0.6179487179487179,0.5336787022501308,0.5235457875457875,0.5956776556776556,2.997740420670424,0.5213621084317708,0.5359366056166055
15,0.6748155339805825,0.6430085119470247,0.7281553398058253,0.6944706426259823,0.7257281553398058,0.7077669902912622,1.1227772379716903,0.6692856726373679,0.6538256742179072,0.9881728937728939,0.9877611785232648,0.9978021978021978,0.9978213091256569,0.9983516483516484,0.9975274725274725,0.04374124413466715,0.9875324024439806,0.9882907453287454,0.5279449898249898,0.47387225669398386,0.5353113553113553,0.43606488749345895,0.4136556776556777,0.5097435897435898,3.0502299017743506,0.49589684233737835,0.5117228815628816
16,0.6672880258899677,0.637139841650445,0.7184466019417476,0.6810078594544614,0.71084142394822,0.7,1.1591114952137298,0.6557322488865004,0.6494651564185545,0.9858168498168497,0.9856414458596844,1.0,1.0,1.0,1.0,0.03994636094313846,0.9856887037680084,0.9860213774373774,0.5267030525030525,0.4757796468428039,0.5614407814407815,0.4823819989534275,0.46991208791208794,0.5457875457875458,3.1382077623379665,0.5020904284454821,0.5136197313797314
17,0.6663948220064726,0.6349502767085282,0.7378640776699029,0.7004253351826167,0.7302588996763755,0.7194174757281553,1.1975407672811602,0.6576032554899488,0.6473477885652643,0.9855076923076923,0.9855683965984378,0.9978021978021978,0.9980989262453793,0.9983516483516484,0.9980219780219781,0.03822324603573807,0.9853745161282058,0.9860449805749805,0.5588421326821327,0.5130861710838722,0.626935286935287,0.5665494505494506,0.5624175824175824,0.6224908424908425,2.9974814798353635,0.5514016091566201,0.547680879120879
18,0.6720129449838187,0.6435316110927948,0.7184466019417476,0.6868978270920018,0.7195792880258899,0.7016181229773463,1.1186561897986675,0.662731046066642,0.6547984897518878,0.9814695970695968,0.9817269024140656,0.9978021978021978,0.9980566801619434,0.9983150183150183,0.9979780219780221,0.03975841459902162,0.981440204344562,0.9825192534872536,0.5501152787952788,0.501031505285819,0.6056166056166056,0.5330989010989011,0.520065934065934,0.5955311355311356,2.85668981947871,0.5193194874781697,0.5368976312576313
19,0.6542394822006473,0.6290686591917319,0.7184466019417476,0.6773370319001388,0.7050809061488673,0.6970873786407766,1.2376520187951967,0.6584415161231384,0.6399764832793959,0.9873201465201464,0.9870667177218708,0.9978021978021978,0.9978716020821284,0.9979780219780221,0.9979780219780221,0.036871325649981766,0.9879385194869211,0.9871181186961187,0.557921107041107,0.5140781546635803,0.5737240537240538,0.5146373626373626,0.526007326007326,0.569084249084249,2.854685148133163,0.5473564365889428,0.5477759218559218
20,0.6719676375404531,0.6406645520304302,0.7669902912621359,0.7311234396671289,0.7597734627831715,0.7466019417475728,1.2050773811415851,0.6625986186156421,0.6539844660194175,0.9851003663003662,0.9853245350713686,0.9956043956043956,0.9958520736229715,0.9961172161172162,0.996,0.03596739849833753,0.9857340912209002,0.9854873275613275,0.5544755555555555,0.5079638296489879,0.6047619047619048,0.5337435897435898,0.5258608058608059,0.5957509157509158,3.1376853988685256,0.5377780388170249,0.5456192918192918
