2026-09-12 06:03:21,873 | INFO | src.trainer.trainer | Epoch 17/60 train_loss=0.803127
2026-09-12 06:03:23,708 | INFO | src.trainer.history | Epoch 17 metrics saved at 2026-09-12 06:03:23: {'train_loss': 0.803126968979924, 'lr': 8.463301205792675e-05, 'val_loss': 1.7575115137978603, 'val_accuracy': 0.3618421052631579, 'val_precision': 0.2966817133076221, 'val_recall': 0.31016339869281045, 'val_f1': 0.2879996185712198, 'val_image_accuracy': 0.40789473684210525, 'val_image_precision': 0.3372257053291536, 'val_image_recall': 0.3496078431372549, 'val_image_f1': 0.31604844430931384}
2026-09-12 06:03:23,709 | INFO | src.trainer.trainer | Epoch 17/60 val_f1=0.2879996185712198 val_image_f1=0.31604844430931384
2026-09-12 06:03:23,709 | INFO | src.trainer.trainer | Epoch 18/60 learning rate set to 8.27886e-05
2026-09-12 06:03:53,658 | INFO | src.trainer.trainer | Epoch 18/60 train_loss=0.794086
2026-09-12 06:03:55,450 | INFO | src.trainer.history | Epoch 18 metrics saved at 2026-09-12 06:03:55: {'train_loss': 0.7940863009816023, 'lr': 8.278860767257865e-05, 'val_loss': 1.8852093753061796, 'val_accuracy': 0.3508771929824561, 'val_precision': 0.2730064909716459, 'val_recall': 0.3046023965141612, 'val_f1': 0.2786568911460263, 'val_image_accuracy': 0.3815789473684211, 'val_image_precision': 0.25361904761904763, 'val_image_recall': 0.3333333333333333, 'val_image_f1': 0.2873045653533458}
2026-09-12 06:03:55,450 | INFO | src.trainer.trainer | Epoch 18/60 val_f1=0.2786568911460263 val_image_f1=0.2873045653533458
2026-09-12 06:03:55,450 | INFO | src.trainer.trainer | Epoch 19/60 learning rate set to 8.08654e-05
2026-09-12 06:04:24,972 | INFO | src.trainer.trainer | Epoch 19/60 train_loss=0.770761
2026-09-12 06:04:26,777 | INFO | src.trainer.history | Epoch 19 metrics saved at 2026-09-12 06:04:26: {'train_loss': 0.7707607570452077, 'lr': 8.086543345964832e-05, 'val_loss': 1.7205810823984313, 'val_accuracy': 0.3755482456140351, 'val_precision': 0.3162458081418823, 'val_recall': 0.3247821350762528, 'val_f1': 0.30743425073203356, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.32927511085405825, 'val_image_recall': 0.3662091503267974, 'val_image_f1': 0.3282945736434108}
2026-09-12 06:04:26,778 | INFO | src.trainer.trainer | Epoch 19/60 val_f1=0.30743425073203356 val_image_f1=0.3282945736434108
2026-09-12 06:04:26,778 | INFO | src.trainer.trainer | Epoch 20/60 learning rate set to 7.88689e-05
2026-09-12 06:04:56,406 | INFO | src.trainer.trainer | Epoch 20/60 train_loss=0.755611
2026-09-12 06:04:58,211 | INFO | src.trainer.history | Epoch 20 metrics saved at 2026-09-12 06:04:58: {'train_loss': 0.7556110518723836, 'lr': 7.886894086538841e-05, 'val_loss': 1.6987454250716327, 'val_accuracy': 0.3788377192982456, 'val_precision': 0.3177386218079053, 'val_recall': 0.32401143790849674, 'val_f1': 0.31324519708624987, 'val_image_accuracy': 0.40789473684210525, 'val_image_precision': 0.33025746183640925, 'val_image_recall': 0.3491503267973856, 'val_image_f1': 0.33249009620826253}
2026-09-12 06:04:58,212 | INFO | src.trainer.trainer | Epoch 20/60 val_f1=0.31324519708624987 val_image_f1=0.33249009620826253
2026-09-12 06:04:58,212 | INFO | src.trainer.trainer | Epoch 21/60 learning rate set to 7.68048e-05
