2026-09-12 04:03:06,822 | INFO | src.trainer.trainer | Epoch 8/60 val_f1=0.27749930274158696 val_image_f1=0.2567446490791438
2026-09-12 04:03:06,822 | INFO | src.trainer.trainer | Epoch 9/60 learning rate set to 9.59786e-05
2026-09-12 04:04:29,732 | INFO | src.trainer.trainer | Epoch 9/60 train_loss=0.851503
2026-09-12 04:04:34,340 | INFO | src.trainer.trainer | Epoch 9: new best val_f1 0.2994, saved logs/sweeps/quality_search_20260911_223833/ds2_photo/ds2_photo/model_best.pt
2026-09-12 04:04:34,342 | INFO | src.trainer.history | Epoch 9 metrics saved at 2026-09-12 04:04:34: {'train_loss': 0.8515025971537368, 'lr': 9.597856477847111e-05, 'val_loss': 1.7666270730190707, 'val_accuracy': 0.37725563909774434, 'val_precision': 0.30480864056010837, 'val_recall': 0.3243809523809524, 'val_f1': 0.2993991002811283, 'val_image_accuracy': 0.3684210526315789, 'val_image_precision': 0.2595852534562212, 'val_image_recall': 0.3209150326797386, 'val_image_f1': 0.28083910111559884}
2026-09-12 04:04:34,343 | INFO | src.trainer.trainer | Epoch 9/60 val_f1=0.2993991002811283 val_image_f1=0.28083910111559884
2026-09-12 04:04:34,343 | INFO | src.trainer.trainer | Epoch 10/60 learning rate set to 9.49308e-05
2026-09-12 04:05:57,486 | INFO | src.trainer.trainer | Epoch 10/60 train_loss=0.821237
2026-09-12 04:06:01,977 | INFO | src.trainer.history | Epoch 10 metrics saved at 2026-09-12 04:06:01: {'train_loss': 0.8212367623428081, 'lr': 9.493084337754573e-05, 'val_loss': 1.9191048340689867, 'val_accuracy': 0.31240601503759396, 'val_precision': 0.275957648138728, 'val_recall': 0.26888982259570493, 'val_f1': 0.2675038608757183, 'val_image_accuracy': 0.3684210526315789, 'val_image_precision': 0.3147071002313969, 'val_image_recall': 0.3175816993464052, 'val_image_f1': 0.3084962406015037}
2026-09-12 04:06:01,977 | INFO | src.trainer.trainer | Epoch 10/60 val_f1=0.2675038608757183 val_image_f1=0.3084962406015037
2026-09-12 04:06:01,977 | INFO | src.trainer.trainer | Epoch 11/60 learning rate set to 9.37699e-05
2026-09-12 04:07:25,527 | INFO | src.trainer.trainer | Epoch 11/60 train_loss=0.792529
2026-09-12 04:07:30,000 | INFO | src.trainer.history | Epoch 11 metrics saved at 2026-09-12 04:07:30: {'train_loss': 0.7925293143790049, 'lr': 9.376993366272128e-05, 'val_loss': 1.837085583335475, 'val_accuracy': 0.35845864661654137, 'val_precision': 0.3222075575454447, 'val_recall': 0.32315873015873015, 'val_f1': 0.2983390429375576, 'val_image_accuracy': 0.35526315789473684, 'val_image_precision': 0.31514145724672044, 'val_image_recall': 0.3054248366013072, 'val_image_f1': 0.25420357420357415}
2026-09-12 04:07:30,000 | INFO | src.trainer.trainer | Epoch 11/60 val_f1=0.2983390429375576 val_image_f1=0.25420357420357415
2026-09-12 04:07:30,000 | INFO | src.trainer.trainer | Epoch 12/60 learning rate set to 9.24991e-05
