2026-09-13 09:00:06,969 | INFO | src.trainer.history | Epoch 7 metrics saved at 2026-09-13 09:00:06: {'train_loss': 0.9103303454164762, 'lr': 9.772289238107717e-05, 'val_loss': 1.5827433065573375, 'val_accuracy': 0.4343859649122807, 'val_precision': 0.38572124310125855, 'val_recall': 0.37516187363834425, 'val_f1': 0.3601321976814892, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.4257971014492753, 'val_image_recall': 0.41954248366013075, 'val_image_f1': 0.3895930017050931}
2026-09-13 09:00:06,969 | INFO | src.trainer.trainer | Epoch 7/60 val_f1=0.3601321976814892 val_image_f1=0.3895930017050931
2026-09-13 09:00:06,969 | INFO | src.trainer.trainer | Epoch 8/60 learning rate set to 9.69101e-05
2026-09-13 09:02:06,652 | INFO | src.trainer.trainer | Epoch 8/60 train_loss=0.876746
2026-09-13 09:02:24,613 | INFO | src.trainer.history | Epoch 8 metrics saved at 2026-09-13 09:02:24: {'train_loss': 0.8767459335801507, 'lr': 9.691012798535524e-05, 'val_loss': 1.6753619646712354, 'val_accuracy': 0.4080263157894737, 'val_precision': 0.36963066093570995, 'val_recall': 0.34946448801742924, 'val_f1': 0.3350449153731345, 'val_image_accuracy': 0.4342105263157895, 'val_image_precision': 0.3820915032679738, 'val_image_recall': 0.374640522875817, 'val_image_f1': 0.34154867688702273}
2026-09-13 09:02:24,613 | INFO | src.trainer.trainer | Epoch 8/60 val_f1=0.3350449153731345 val_image_f1=0.34154867688702273
2026-09-13 09:02:24,613 | INFO | src.trainer.trainer | Epoch 9/60 learning rate set to 9.59786e-05
2026-09-13 09:04:23,686 | INFO | src.trainer.trainer | Epoch 9/60 train_loss=0.851901
2026-09-13 09:04:41,610 | INFO | src.trainer.history | Epoch 9 metrics saved at 2026-09-13 09:04:41: {'train_loss': 0.8519009700171931, 'lr': 9.597856477847111e-05, 'val_loss': 1.6603065042642124, 'val_accuracy': 0.41912280701754384, 'val_precision': 0.3668417207454021, 'val_recall': 0.3697838779956427, 'val_f1': 0.3465234638546521, 'val_image_accuracy': 0.4473684210526316, 'val_image_precision': 0.36196581196581196, 'val_image_recall': 0.3877777777777778, 'val_image_f1': 0.3452861952861953}
2026-09-13 09:04:41,611 | INFO | src.trainer.trainer | Epoch 9/60 val_f1=0.3465234638546521 val_image_f1=0.3452861952861953
2026-09-13 09:04:41,611 | INFO | src.trainer.trainer | Epoch 10/60 learning rate set to 9.49308e-05
2026-09-13 09:06:40,803 | INFO | src.trainer.trainer | Epoch 10/60 train_loss=0.826153
2026-09-13 09:06:58,771 | INFO | src.trainer.history | Epoch 10 metrics saved at 2026-09-13 09:06:58: {'train_loss': 0.8261533594273069, 'lr': 9.493084337754573e-05, 'val_loss': 1.7270170177388608, 'val_accuracy': 0.3979385964912281, 'val_precision': 0.35054873187747926, 'val_recall': 0.3489344226579521, 'val_f1': 0.33392609028285924, 'val_image_accuracy': 0.3815789473684211, 'val_image_precision': 0.3263888888888889, 'val_image_recall': 0.3286928104575163, 'val_image_f1': 0.30255748979153235}
2026-09-13 09:06:58,772 | INFO | src.trainer.trainer | Epoch 10/60 val_f1=0.33392609028285924 val_image_f1=0.30255748979153235
2026-09-13 09:06:58,772 | INFO | src.trainer.trainer | Epoch 11/60 learning rate set to 9.37699e-05
2026-09-13 09:08:56,743 | INFO | src.trainer.trainer | Epoch 11/60 train_loss=0.811360
2026-09-13 09:09:14,713 | INFO | src.trainer.history | Epoch 11 metrics saved at 2026-09-13 09:09:14: {'train_loss': 0.8113600579207264, 'lr': 9.376993366272128e-05, 'val_loss': 1.814647832878849, 'val_accuracy': 0.39302631578947367, 'val_precision': 0.3445249401265872, 'val_recall': 0.3377673202614379, 'val_f1': 0.3242398929728428, 'val_image_accuracy': 0.3815789473684211, 'val_image_precision': 0.3307308377896613, 'val_image_recall': 0.32999999999999996, 'val_image_f1': 0.3013167701863354}
2026-09-13 09:09:14,713 | INFO | src.trainer.trainer | Epoch 11/60 val_f1=0.3242398929728428 val_image_f1=0.3013167701863354
2026-09-13 09:09:14,713 | INFO | src.trainer.trainer | Epoch 12/60 learning rate set to 9.24991e-05
2026-09-13 09:11:13,298 | INFO | src.trainer.trainer | Epoch 12/60 train_loss=0.798071
2026-09-13 09:11:31,230 | INFO | src.trainer.history | Epoch 12 metrics saved at 2026-09-13 09:11:31: {'train_loss': 0.7980710354502677, 'lr': 9.249912635871318e-05, 'val_loss': 1.6257632394317996, 'val_accuracy': 0.44548245614035087, 'val_precision': 0.3789513413368065, 'val_recall': 0.38402287581699346, 'val_f1': 0.3541929366717228, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.40325552825552824, 'val_image_recall': 0.4201960784313726, 'val_image_f1': 0.35687830687830685}
2026-09-13 09:11:31,231 | INFO | src.trainer.trainer | Epoch 12/60 val_f1=0.3541929366717228 val_image_f1=0.35687830687830685
2026-09-13 09:11:31,231 | INFO | src.trainer.trainer | Epoch 13/60 learning rate set to 9.1122e-05
2026-09-13 09:13:29,573 | INFO | src.trainer.trainer | Epoch 13/60 train_loss=0.774233
2026-09-13 09:13:47,555 | INFO | src.trainer.history | Epoch 13 metrics saved at 2026-09-13 09:13:47: {'train_loss': 0.7742329034153939, 'lr': 9.112202370689337e-05, 'val_loss': 1.7329177570133878, 'val_accuracy': 0.4085964912280702, 'val_precision': 0.3485310978200943, 'val_recall': 0.359579302832244, 'val_f1': 0.34219846243532615, 'val_image_accuracy': 0.4473684210526316, 'val_image_precision': 0.35878787878787877, 'val_image_recall': 0.38555555555555554, 'val_image_f1': 0.355855652012138}
2026-09-13 09:13:47,555 | INFO | src.trainer.trainer | Epoch 13/60 val_f1=0.34219846243532615 val_image_f1=0.355855652012138
2026-09-13 09:13:47,556 | INFO | src.trainer.trainer | Epoch 14/60 learning rate set to 8.96425e-05
2026-09-13 09:15:47,361 | INFO | src.trainer.trainer | Epoch 14/60 train_loss=0.760458
2026-09-13 09:16:05,315 | INFO | src.trainer.history | Epoch 14 metrics saved at 2026-09-13 09:16:05: {'train_loss': 0.7604584229744711, 'lr': 8.964252925434579e-05, 'val_loss': 1.7692899395917592, 'val_accuracy': 0.4110526315789474, 'val_precision': 0.37081199303372986, 'val_recall': 0.35501198257080613, 'val_f1': 0.341121466837493, 'val_image_accuracy': 0.40789473684210525, 'val_image_precision': 0.3648717948717949, 'val_image_recall': 0.3517647058823529, 'val_image_f1': 0.3229572177890472}
2026-09-13 09:16:05,315 | INFO | src.trainer.trainer | Epoch 14/60 val_f1=0.341121466837493 val_image_f1=0.3229572177890472
2026-09-13 09:16:05,315 | INFO | src.trainer.trainer | Epoch 15/60 learning rate set to 8.80648e-05
2026-09-13 09:18:04,679 | INFO | src.trainer.trainer | Epoch 15/60 train_loss=0.751288
2026-09-13 09:18:22,641 | INFO | src.trainer.history | Epoch 15 metrics saved at 2026-09-13 09:18:22: {'train_loss': 0.751287850887579, 'lr': 8.806483678883803e-05, 'val_loss': 1.701836546084337, 'val_accuracy': 0.4072368421052632, 'val_precision': 0.3542189274225592, 'val_recall': 0.3515080610021787, 'val_f1': 0.3382756929666691, 'val_image_accuracy': 0.39473684210526316, 'val_image_precision': 0.31947231512448904, 'val_image_recall': 0.33718954248366007, 'val_image_f1': 0.3119670323222262}
2026-09-13 09:18:22,641 | INFO | src.trainer.trainer | Epoch 15/60 val_f1=0.3382756929666691 val_image_f1=0.3119670323222262
2026-09-13 09:18:22,641 | INFO | src.trainer.trainer | Epoch 16/60 learning rate set to 8.63934e-05
2026-09-13 09:20:22,244 | INFO | src.trainer.trainer | Epoch 16/60 train_loss=0.734078
2026-09-13 09:20:40,230 | INFO | src.trainer.history | Epoch 16 metrics saved at 2026-09-13 09:20:40: {'train_loss': 0.7340778157652619, 'lr': 8.639341845107433e-05, 'val_loss': 1.7396631068618673, 'val_accuracy': 0.43153508771929827, 'val_precision': 0.374798564739171, 'val_recall': 0.3780838779956427, 'val_f1': 0.3486835259273867, 'val_image_accuracy': 0.4342105263157895, 'val_image_precision': 0.3549999999999999, 'val_image_recall': 0.3742483660130719, 'val_image_f1': 0.3332778427246512}
2026-09-13 09:20:40,230 | INFO | src.trainer.trainer | Epoch 16/60 val_f1=0.3486835259273867 val_image_f1=0.3332778427246512
2026-09-13 09:20:40,230 | INFO | src.trainer.trainer | Epoch 17/60 learning rate set to 8.4633e-05
2026-09-13 09:22:40,362 | INFO | src.trainer.trainer | Epoch 17/60 train_loss=0.724555
2026-09-13 09:22:58,443 | INFO | src.trainer.trainer | Epoch 17: new best val_f1 0.3712, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_cw/model_best.pt
