round,lr,swa_test_accuracy,swa_test_f1,swa_test_image_accuracy,swa_test_image_f1,swa_test_image_precision,swa_test_image_recall,swa_test_loss,swa_test_precision,swa_test_recall,swa_val_accuracy,swa_val_f1,swa_val_image_accuracy,swa_val_image_f1,swa_val_image_precision,swa_val_image_recall,swa_val_loss,swa_val_precision,swa_val_recall,test_accuracy,test_f1,test_image_accuracy,test_image_f1,test_image_precision,test_image_recall,test_loss,test_precision,test_recall,train_accuracy,train_f1,train_image_accuracy,train_image_f1,train_image_precision,train_image_recall,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_image_accuracy,val_image_f1,val_image_precision,val_image_recall,val_loss,val_precision,val_recall
30,8.2252435921195e-05,0.5016643550624134,0.48157933174961337,0.5631067961165048,0.5445140805140805,0.5617589763177999,0.5526905702992659,1.227606723047328,0.5014925981976436,0.4916693286010056,0.5492559523809524,0.5085020400977669,0.6145833333333334,0.5630012145202644,0.6206260406260407,0.5816359079516975,1.1010489834561235,0.5354868299041928,0.518542622790743,0.5128987517337031,0.4955852382652856,0.5728155339805825,0.5507588201272412,0.570508658008658,0.5613862224731789,1.2011968574270957,0.5125792113948823,0.5051602269366244,0.9163893249607535,0.9163199675664575,0.989010989010989,0.9899665321122215,0.9904146587165457,0.989660758528683,0.9249740084598725,0.9136985225899746,0.9200431714736347,0.5305059523809523,0.5129808941642348,0.5520833333333334,0.5281695192583803,0.5267832167832167,0.5356687172476646,1.2533617599222977,0.5123621481269538,0.5156172899781922
31,8.110256093070391e-05,0.5047156726768377,0.4854564801402024,0.5631067961165048,0.5445140805140805,0.5617589763177999,0.5526905702992659,1.2228703759083634,0.5032837521507455,0.4950309752359442,0.5507440476190476,0.5109647488224305,0.625,0.573018329188542,0.6334110334110334,0.5907268170426065,1.0966933293001992,0.53782683265695,0.520406861309117,0.5063800277392511,0.49065067059291767,0.5533980582524272,0.5277745894287248,0.5396102310656063,0.5384048560135517,1.2207847237752314,0.5011058820354077,0.49831058589443683,0.9034536891679749,0.9023811779616571,0.967032967032967,0.9664631411820791,0.9652668294696418,0.9683073112701841,0.9102287170576339,0.899501288849663,0.9068827124850998,0.5363095238095238,0.5144851561078136,0.5416666666666666,0.5109471526862831,0.5089591567852437,0.5241398951925267,1.2300041455192214,0.5122834734842463,0.5203546203170262
32,7.992640287397496e-05,0.5070735090152566,0.48837673677526716,0.5631067961165048,0.5445140805140805,0.5617589763177999,0.5526905702992659,1.2199027803503029,0.5049806720745246,0.4977787099029335,0.5525297619047619,0.5137561399266819,0.6145833333333334,0.5656782618484747,0.6258105722779636,0.5816359079516975,1.0947265602648257,0.541512934068977,0.522945513133483,0.508876560332871,0.49171503458231536,0.5631067961165048,0.5387893607893608,0.5609606080194316,0.5530528891398456,1.2158410629105139,0.511723747621627,0.5017854185152322,0.9098587127158556,0.9089858527807373,0.9802197802197802,0.9814223848564566,0.9821571047745496,0.9809557842576713,0.9050977267500371,0.906595049715914,0.9130054352347967,0.546875,0.5252527496989383,0.5833333333333334,0.560778593387289,0.5587237076648841,0.5662451583504214,1.258192677646995,0.5240144289964094,0.5317021449728216
33,7.872514604247259e-05,0.5085991678224688,0.49004645658909063,0.5728155339805825,0.5517484251168462,0.5729819200407437,0.5613862224731789,1.2169662571151776,0.5064617049501157,0.4998407141512732,0.5532738095238096,0.5156492308528824,0.6041666666666666,0.5575950883498053,0.6180613994078229,0.5725449988607884,1.0915590595276583,0.542247968346729,0.5244920743416983,0.5166435506241331,0.4986816229818471,0.5922330097087378,0.5689422215738006,0.5893946740442847,0.580477131564088,1.197009270217647,0.5158058102446652,0.5087607082358636,0.9162009419152276,0.9160846368732448,0.9736263736263736,0.9749734775200911,0.9741957589336231,0.975823956731632,0.893570485006509,0.9132633905879093,0.9198523711688724,0.5242559523809524,0.5058970933059023,0.53125,0.5140592867351923,0.5166137566137566,0.5184894053315106,1.2726244281934398,0.5033856713516511,0.5137888552550207
34,7.749999999999999e-05,0.511373092926491,0.49319963050019683,0.5728155339805825,0.550523649892071,0.5674894957983193,0.5613862224731789,1.2139352922796707,0.5089826616824946,0.5028677905944987,0.5546130952380952,0.5174102079248067,0.6145833333333334,0.5725152625152625,0.6266942719116632,0.5830713146502621,1.0892897156732424,0.544123537798105,0.5258168147641832,0.5188626907073509,0.5003714128396703,0.5922330097087378,0.571511504143083,0.6016559829059829,0.580477131564088,1.2024224384978477,0.5214027427229885,0.5105697883896642,0.9146310832025117,0.9150628612180347,0.978021978021978,0.9786017194092222,0.9775808400562379,0.980360205831904,0.8963736814456982,0.912634017999638,0.9191223766441337,0.5430059523809524,0.520570347017197,0.6041666666666666,0.5737922705314009,0.5731047937569677,0.5819890635680108,1.2544993956531505,0.5203734021077036,0.525820557888227
35,7.625219836477074e-05,0.5131761442441054,0.4946075646370775,0.5825242718446602,0.5584159057843269,0.5742758059842402,0.5704771315640881,1.213057649796945,0.5106165926826342,0.5041686563953645,0.5555059523809524,0.5184889886810155,0.6145833333333334,0.5721689701521634,0.6260702981842412,0.5830713146502621,1.0864142624395234,0.5451210482485678,0.5266232138788529,0.5185852981969487,0.4990046336902093,0.5631067961165048,0.5288639762323973,0.5595518207282912,0.5419057029926595,1.2084310852414857,0.5156499827395777,0.5079081229329676,0.916232339089482,0.91561410520517,0.9736263736263736,0.9742475884358989,0.9760971983990852,0.9737516676195922,0.8887141436272924,0.9137003008506268,0.9192738727210102,0.5194940476190476,0.49522983882608707,0.5625,0.5362702472293266,0.5515964240102171,0.5447596263385737,1.2990394824432197,0.495226984102559,0.503658334147056
36,7.498299756725986e-05,0.5131761442441054,0.49529645596170147,0.5922330097087378,0.5689422215738005,0.5893946740442847,0.580477131564088,1.2114963104919985,0.5110524921520552,0.5049438304966255,0.5577380952380953,0.5215026448170721,0.6145833333333334,0.5721689701521634,0.6260702981842412,0.5830713146502621,1.0823337748291946,0.5477768002391943,0.529478892035283,0.5187239944521498,0.5015327585547519,0.5728155339805825,0.5488284328284327,0.5855258467023172,0.5621437982307547,1.2077314613058894,0.5230004396615996,0.5117688284800086,0.934850863422292,0.934468866152019,0.9912087912087912,0.9912676925167423,0.990715771951727,0.9919976463665783,0.8798057458614069,0.9313957985707454,0.9385854943084257,0.5327380952380952,0.5101591006555551,0.5833333333333334,0.5530891502139749,0.5636078431372549,0.5619389382547276,1.2627681761206122,0.5113790610176728,0.5155560980373011
37,7.369367558508489e-05,0.5171983356449376,0.4994332593005697,0.5922330097087378,0.5689422215738005,0.5893946740442847,0.580477131564088,1.2089596993384182,0.5164878435345598,0.508790903713264,0.559672619047619,0.5239786876260666,0.6145833333333334,0.5721689701521634,0.6260702981842412,0.5830713146502621,1.0783234646987347,0.5488962506245896,0.5314194577352472,0.5206657420249653,0.5019207290788453,0.5922330097087378,0.570307426031564,0.6112834224598931,0.580477131564088,1.1937954296351472,0.5263863871868701,0.5101658196875588,0.9326216640502355,0.9323432917078394,0.9868131868131869,0.9879186795237992,0.9886986008656979,0.9873330761359703,0.8753779387137204,0.9306836721516429,0.9347038373620741,0.5294642857142857,0.5116780732570471,0.5625,0.5415893977596106,0.5427761780702957,0.5480633401686033,1.291788489521413,0.510586504096954,0.5188913843049182
38,7.238553065619079e-05,0.5188626907073509,0.5011634366699831,0.5922330097087378,0.5700756067071856,0.5946549379739035,0.580477131564088,1.207340352975049,0.5183963448914748,0.5105369578661503,0.5620535714285714,0.5272131770960241,0.6145833333333334,0.5721689701521634,0.6260702981842412,0.5830713146502621,1.075186616395201,0.5520384213616183,0.5342840868404778,0.5145631067961165,0.4955797603371428,0.5825242718446602,0.5563222437364315,0.5973202614379085,0.5661914172783737,1.2145950430474566,0.5141661255903728,0.5043478126428436,0.9340973312401883,0.9335409201547898,0.9934065934065934,0.9927529899287348,0.9914426229508198,0.9942297124015387,0.8714083252110324,0.9311801648034901,0.9366653272305422,0.5334821428571429,0.513334548040541,0.5625,0.5416209743492784,0.5418620079610792,0.5480633401686033,1.3027714281982723,0.5129291277707191,0.520324349835628
39,7.105987997163423e-05,0.5184466019417475,0.5006008952443393,0.5922330097087378,0.571511504143083,0.6016559829059829,0.580477131564088,1.2030249431791318,0.5186059675665093,0.5097488505283536,0.562797619047619,0.5274848471812374,0.6041666666666666,0.5532635618349904,0.6080434782608696,0.5664046479835954,1.071743867617278,0.5522219926444548,0.5344819841812323,0.5245492371705964,0.5055565333214074,0.5728155339805825,0.5444150917835129,0.566846675974465,0.5561914172783738,1.1811759978987473,0.5231963132328119,0.5131746524696835,0.9389324960753532,0.9384983991475904,1.0,1.0,1.0,1.0,0.8578358732138175,0.936521404768604,0.9409365152885881,0.5129464285714286,0.4888727337853741,0.5208333333333334,0.4947081297225976,0.4955377955377955,0.5069605832763726,1.3387592430782635,0.4858944231035719,0.5004016534843603
40,6.9718058349284e-05,0.5185852981969487,0.5008069323992065,0.5922330097087378,0.571511504143083,0.6016559829059829,0.580477131564088,1.1996969871811993,0.5188946695004761,0.5099233282245704,0.5641369047619048,0.5289475406153622,0.6041666666666666,0.5532635618349904,0.6080434782608696,0.5664046479835954,1.068224127874488,0.5536475752350202,0.5357595286918595,0.5319001386962552,0.5135448774625085,0.6019417475728155,0.5847981561561614,0.6410966810966812,0.5904771315640881,1.1720207522795039,0.533835968286047,0.5235768868812347,0.9375510204081633,0.936758279805032,0.9978021978021978,0.9978909592822636,0.998076923076923,0.9977272727272727,0.8616779448211286,0.9343340945488625,0.9399912697630896,0.5369047619047619,0.514941827066846,0.5729166666666666,0.5465367965367965,0.5482900432900433,0.5542834358623832,1.2422923082773463,0.5135259687185926,0.5227704000260391
41,6.836141688977237e-05,0.5219140083217753,0.5045515009191134,0.5922330097087378,0.5717466743782533,0.6095959595959596,0.580477131564088,1.1940167148797753,0.5233215127603321,0.5132731037078864,0.5654761904761905,0.5306251862090028,0.6041666666666666,0.5543433876695332,0.6327439390903626,0.5664046479835954,1.0642971834611326,0.5564103293767199,0.5371576668945091,0.5359223300970873,0.5216136550850426,0.6116504854368932,0.5924102564102565,0.6080226428139314,0.5984481460568417,1.1608512369174402,0.5337704041830149,0.5273386840902369,0.9429199372056515,0.9428679927450931,0.9978021978021978,0.9979181757209925,0.9981308411214954,0.9977272727272727,0.8524806546603491,0.9419840958940802,0.9439282252961265,0.5257440476190476,0.5045827578630611,0.5729166666666666,0.5539974210186976,0.5582356484095614,0.555855547960811,1.3059223072730954,0.5042384808580975,0.512917846564463
