2026-09-13 06:08:19,671 | INFO | src.trainer.history | Epoch 11 metrics saved at 2026-09-13 06:08:19: {'train_loss': 0.7899354251579789, 'lr': 9.376993366272128e-05, 'val_loss': 1.7551125861155359, 'val_accuracy': 0.3774561403508772, 'val_precision': 0.3283839100338465, 'val_recall': 0.324059477124183, 'val_f1': 0.31911625982057246, 'val_image_accuracy': 0.39473684210526316, 'val_image_precision': 0.3292128923707871, 'val_image_recall': 0.3398039215686274, 'val_image_f1': 0.3239949627046401}
2026-09-13 06:08:19,671 | INFO | src.trainer.trainer | Epoch 11/60 val_f1=0.31911625982057246 val_image_f1=0.3239949627046401
2026-09-13 06:08:19,671 | INFO | src.trainer.trainer | Epoch 12/60 learning rate set to 9.24991e-05
2026-09-13 06:10:19,436 | INFO | src.trainer.trainer | Epoch 12/60 train_loss=0.778271
2026-09-13 06:10:37,414 | INFO | src.trainer.history | Epoch 12 metrics saved at 2026-09-13 06:10:37: {'train_loss': 0.7782711819940438, 'lr': 9.249912635871318e-05, 'val_loss': 1.6312455033523994, 'val_accuracy': 0.4474122807017544, 'val_precision': 0.38201085164356635, 'val_recall': 0.38609738562091506, 'val_f1': 0.36649516399217774, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.39126559714795006, 'val_image_recall': 0.4201960784313726, 'val_image_f1': 0.37302636916835696}
2026-09-13 06:10:37,414 | INFO | src.trainer.trainer | Epoch 12/60 val_f1=0.36649516399217774 val_image_f1=0.37302636916835696
2026-09-13 06:10:37,414 | INFO | src.trainer.trainer | Epoch 13/60 learning rate set to 9.1122e-05
2026-09-13 06:12:35,804 | INFO | src.trainer.trainer | Epoch 13/60 train_loss=0.756103
2026-09-13 06:12:53,767 | INFO | src.trainer.history | Epoch 13 metrics saved at 2026-09-13 06:12:53: {'train_loss': 0.7561034514112833, 'lr': 9.112202370689337e-05, 'val_loss': 1.582545163443214, 'val_accuracy': 0.4380263157894737, 'val_precision': 0.38507976187804666, 'val_recall': 0.39098213507625273, 'val_f1': 0.3790905365064488, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.40069930069930065, 'val_image_recall': 0.41424836601307186, 'val_image_f1': 0.39307826956739184}
2026-09-13 06:12:53,768 | INFO | src.trainer.trainer | Epoch 13/60 val_f1=0.3790905365064488 val_image_f1=0.39307826956739184
2026-09-13 06:12:53,768 | INFO | src.trainer.trainer | Epoch 14/60 learning rate set to 8.96425e-05
2026-09-13 06:14:53,301 | INFO | src.trainer.trainer | Epoch 14/60 train_loss=0.737202
