round,test_accuracy,test_f1,test_image_accuracy,test_image_f1,test_image_precision,test_image_recall,test_loss,test_precision,test_recall,train_accuracy,train_f1,train_image_accuracy,train_image_f1,train_image_precision,train_image_recall,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_image_accuracy,val_image_f1,val_image_precision,val_image_recall,val_loss,val_precision,val_recall
42,0.6722977346278317,0.6460825637943425,0.7281553398058253,0.6992233009708737,0.7364077669902913,0.7135922330097088,1.2650138592580722,0.6784219492550893,0.6601855447680691,0.9716190476190477,0.971693267545444,0.9846153846153847,0.985563909774436,0.99003663003663,0.9860659340659341,0.014433666551449943,0.9772962102439369,0.9742974621674622,0.555311273911274,0.5118563124403166,0.5970207570207571,0.5313720565149136,0.5557509157509158,0.5726007326007325,3.480725298192791,0.5446562488050203,0.5389831501831502
43,0.6463754045307444,0.6183204070936242,0.6699029126213593,0.6279149329634766,0.6579288025889968,0.6585760517799353,1.3949480245407004,0.6488285122041465,0.633653721682848,0.9792454212454211,0.9800670254396322,0.989010989010989,0.9894441555299582,0.9898257298257298,0.9898923298923299,0.012973893234038776,0.9806422406867394,0.9805152876752876,0.6020229548229549,0.5433127745419588,0.6566056166056166,0.5789324960753532,0.5721611721611722,0.642051282051282,3.4195938659476384,0.5825955501000245,0.5882422466422466
44,0.6637216828478965,0.6397347254714689,0.6990291262135923,0.6791123439667128,0.7393527508090614,0.6915857605177992,1.3158764752489143,0.6682533662364534,0.6520701186623518,0.988989010989011,0.9896568243513068,1.0,1.0,1.0,1.0,0.015045128371387863,0.9896908614025376,0.9899527161727163,0.5576849816849817,0.5081619541656668,0.5867155067155068,0.5070057561486133,0.5067326007326007,0.5656410256410257,3.5973075774274568,0.5303318414709534,0.539148717948718
45,0.6651456310679611,0.6382502035287845,0.7087378640776699,0.6773000462320851,0.7280582524271845,0.6928802588996764,1.3131751736314894,0.6666242758488873,0.6520118662351673,0.988893772893773,0.9890873332694502,0.9978021978021978,0.9978945424323575,0.9982017982017982,0.9978021978021978,0.015785075627035385,0.9897866174826842,0.9889670259370258,0.5864865282865281,0.5415088055415047,0.6258608058608058,0.558086865515437,0.5560073260073259,0.6157509157509157,3.412967886161541,0.5789347551594279,0.57947326007326
46,0.6685113268608416,0.6399987734899542,0.7184466019417476,0.6733333333333333,0.6976375404530745,0.6993527508090615,1.313493014352069,0.6707445898248958,0.6529611650485437,0.9576117216117215,0.9582520228142695,0.9604395604395605,0.960245215495105,0.9838175158175158,0.962959706959707,0.013717796945628656,0.9741578152068895,0.9599596211196212,0.5587728937728937,0.5014935814351869,0.5827594627594628,0.5013982208267923,0.5123443223443224,0.5526007326007326,3.8138078899582566,0.5494812360955238,0.5340185592185592
47,0.6250485436893204,0.5984982467673544,0.6796116504854369,0.6364771151178917,0.6584142394822006,0.6634304207119742,1.472074990238715,0.6279051437431156,0.6121542610571736,0.9753919413919413,0.9758857655041792,0.9846153846153847,0.9855914673561732,0.9902271062271062,0.9863159063159064,0.01582456370345922,0.9790227378382295,0.9772334391534392,0.582180870980871,0.533001434635948,0.6146031746031746,0.5355457875457875,0.5221245421245422,0.6055677655677656,3.4208166650338665,0.5716720543080532,0.5705589743589744
48,0.6461165048543689,0.6202734121919444,0.7087378640776699,0.6794822006472492,0.7153721682847896,0.6922330097087378,1.412763187135192,0.6533171836839572,0.6298953613807982,0.9945714285714286,0.9945435464504454,0.9978021978021978,0.9978945424323575,0.9978021978021978,0.9982017982017982,0.013484861575482494,0.9946766229771922,0.9946265223665224,0.6002118844118844,0.5408298049384952,0.6458363858363858,0.5634997383568813,0.5706959706959708,0.6222710622710622,3.4480404159544147,0.578402318297799,0.5792871794871796
49,0.6528478964401295,0.6295013058780068,0.7087378640776699,0.6757189089227923,0.7013268608414239,0.6961165048543689,1.4422839723438365,0.6583918634638174,0.641678532901834,0.9709230769230769,0.9709942231532694,0.9802197802197802,0.9806047368780287,0.9868131868131869,0.9823776223776224,0.015127252809278412,0.9759510865869396,0.9732279768379769,0.5759833943833944,0.5268043699352825,0.6157264957264957,0.5534170591313449,0.5651282051282052,0.6022710622710622,4.210128654226914,0.563020119297196,0.5594857142857141
50,0.6477022653721684,0.6218332615834726,0.6990291262135923,0.6726398520573277,0.7136893203883494,0.6909385113268608,1.4152564007661932,0.6529175423106172,0.6342513484358143,0.987010989010989,0.9872273596330923,0.9978021978021978,0.9979729543639319,0.9979780219780221,0.9981618381618381,0.01410610812883056,0.9877253196013647,0.9872290857290857,0.5502743182743182,0.5015620776929387,0.573113553113553,0.5081297749869178,0.5227472527472528,0.5597802197802197,3.4880786846246132,0.539622417624879,0.537149938949939
51,0.6418446601941747,0.6191093194908832,0.6796116504854369,0.6458252427184465,0.6800970873786406,0.6676375404530744,1.3777773899953965,0.6486520416057361,0.6318284789644013,0.9739926739926742,0.9755824788680622,0.9802197802197802,0.9812698579615874,0.9833243679397525,0.9810589410589411,0.01404967124883913,0.9767308824834732,0.975661875901876,0.5778849002849002,0.5348543075848593,0.615067155067155,0.5453040293040292,0.5439853479853479,0.5992673992673991,3.447173453395261,0.5711849162845691,0.5567240537240538
52,0.6594498381877022,0.6338529934665237,0.7087378640776699,0.6809061488673138,0.7278317152103562,0.6957928802588997,1.4007643308881066,0.6655520366846351,0.6464692556634304,0.9942051282051282,0.9940268536933495,1.0,1.0,1.0,1.0,0.012245300642376066,0.9940111764632731,0.9943346283346283,0.5929035409035409,0.5420849607171613,0.635946275946276,0.5587441130298273,0.5539926739926739,0.6123809523809524,3.4637225219639944,0.5683402316739107,0.5722168498168497
53,0.6034304207119742,0.5831465238144987,0.6019417475728155,0.5763384188626908,0.6154045307443367,0.596116504854369,1.6326099090259947,0.616466713639581,0.5926051779935274,0.9589304029304029,0.9594962893401614,0.9692307692307692,0.9703201581108178,0.9817992533782007,0.9717362637362639,0.012624422272742181,0.969924862252808,0.9615896843896845,0.5526243386243387,0.5039296374332911,0.6137484737484737,0.5459194139194139,0.5424908424908426,0.6024908424908425,3.894153828005616,0.5310274299303719,0.5411387057387057
54,0.6327184466019418,0.6089743857276567,0.6601941747572816,0.6273046694405917,0.6793203883495146,0.6456310679611651,1.5245961529735486,0.6393169216392244,0.621244875943905,0.9715018315018314,0.9726393813967421,0.978021978021978,0.9792643613696244,0.9841366984663688,0.9793872793872793,0.01301830072109807,0.9769554111772911,0.97254305990306,0.5842839234839236,0.5272626084339672,0.6247374847374848,0.5404967730682017,0.5401025641025641,0.6021978021978022,3.5448280190808554,0.5684396422188411,0.5598925518925519
