2026-09-12 04:57:31,860 | INFO | src.trainer.trainer | Epoch 10/60 train_loss=0.653726
2026-09-12 04:57:36,330 | INFO | src.trainer.history | Epoch 10 metrics saved at 2026-09-12 04:57:36: {'train_loss': 0.6537262323742417, 'lr': 9.493084337754573e-05, 'val_loss': 1.8896899453231266, 'val_accuracy': 0.3738721804511278, 'val_precision': 0.32620224424901956, 'val_recall': 0.31994491129785246, 'val_f1': 0.31535674363451505, 'val_image_accuracy': 0.40789473684210525, 'val_image_precision': 0.35273504273504275, 'val_image_recall': 0.3504575163398693, 'val_image_f1': 0.33744069068426474}
2026-09-12 04:57:36,330 | INFO | src.trainer.trainer | Epoch 10/60 val_f1=0.31535674363451505 val_image_f1=0.33744069068426474
2026-09-12 04:57:36,330 | INFO | src.trainer.trainer | Epoch 11/60 learning rate set to 9.37699e-05
2026-09-12 04:58:59,611 | INFO | src.trainer.trainer | Epoch 11/60 train_loss=0.634945
2026-09-12 04:59:04,064 | INFO | src.trainer.history | Epoch 11 metrics saved at 2026-09-12 04:59:04: {'train_loss': 0.6349452455712093, 'lr': 9.376993366272128e-05, 'val_loss': 1.9109476752299115, 'val_accuracy': 0.3879699248120301, 'val_precision': 0.3440513104921573, 'val_recall': 0.334531279178338, 'val_f1': 0.3272597130807832, 'val_image_accuracy': 0.39473684210526316, 'val_image_precision': 0.34669856459330145, 'val_image_recall': 0.3404575163398693, 'val_image_f1': 0.32534382196891365}
2026-09-12 04:59:04,064 | INFO | src.trainer.trainer | Epoch 11/60 val_f1=0.3272597130807832 val_image_f1=0.32534382196891365
2026-09-12 04:59:04,064 | INFO | src.trainer.trainer | Epoch 12/60 learning rate set to 9.24991e-05
2026-09-12 05:00:27,706 | INFO | src.trainer.trainer | Epoch 12/60 train_loss=0.610136
2026-09-12 05:00:32,208 | INFO | src.trainer.history | Epoch 12 metrics saved at 2026-09-12 05:00:32: {'train_loss': 0.6101360673324872, 'lr': 9.249912635871318e-05, 'val_loss': 1.8935478784984217, 'val_accuracy': 0.3798872180451128, 'val_precision': 0.3244458064493593, 'val_recall': 0.32789169000933704, 'val_f1': 0.31577627056173585, 'val_image_accuracy': 0.3815789473684211, 'val_image_precision': 0.30547619047619046, 'val_image_recall': 0.3286928104575163, 'val_image_f1': 0.30177289377289374}
2026-09-12 05:00:32,208 | INFO | src.trainer.trainer | Epoch 12/60 val_f1=0.31577627056173585 val_image_f1=0.30177289377289374
2026-09-12 05:00:32,208 | INFO | src.trainer.trainer | Epoch 13/60 learning rate set to 9.1122e-05
2026-09-12 05:01:54,916 | INFO | src.trainer.trainer | Epoch 13/60 train_loss=0.597497
2026-09-12 05:01:59,428 | INFO | src.trainer.history | Epoch 13 metrics saved at 2026-09-12 05:01:59: {'train_loss': 0.5974965424663581, 'lr': 9.112202370689337e-05, 'val_loss': 1.9865483957573884, 'val_accuracy': 0.37349624060150377, 'val_precision': 0.3292222073580696, 'val_recall': 0.32039215686274514, 'val_f1': 0.3182001747237035, 'val_image_accuracy': 0.40789473684210525, 'val_image_precision': 0.36666666666666664, 'val_image_recall': 0.3515686274509804, 'val_image_f1': 0.34160278745644596}
2026-09-12 05:01:59,428 | INFO | src.trainer.trainer | Epoch 13/60 val_f1=0.3182001747237035 val_image_f1=0.34160278745644596
2026-09-12 05:01:59,428 | INFO | src.trainer.trainer | Epoch 14/60 learning rate set to 8.96425e-05
2026-09-12 05:03:23,370 | INFO | src.trainer.trainer | Epoch 14/60 train_loss=0.586621
2026-09-12 05:03:27,859 | INFO | src.trainer.history | Epoch 14 metrics saved at 2026-09-12 05:03:27: {'train_loss': 0.5866214722688889, 'lr': 8.964252925434579e-05, 'val_loss': 1.9360130941957459, 'val_accuracy': 0.3954887218045113, 'val_precision': 0.32945799605769344, 'val_recall': 0.3415266106442577, 'val_f1': 0.3260136365863028, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.38677156177156174, 'val_image_recall': 0.39973856209150327, 'val_image_f1': 0.3750046077953055}
2026-09-12 05:03:27,859 | INFO | src.trainer.trainer | Epoch 14/60 val_f1=0.3260136365863028 val_image_f1=0.3750046077953055
2026-09-12 05:03:27,859 | INFO | src.trainer.trainer | Epoch 15/60 learning rate set to 8.80648e-05
2026-09-12 05:04:51,322 | INFO | src.trainer.trainer | Epoch 15/60 train_loss=0.571299
2026-09-12 05:04:55,797 | INFO | src.trainer.history | Epoch 15 metrics saved at 2026-09-12 05:04:55: {'train_loss': 0.5712991859591997, 'lr': 8.806483678883803e-05, 'val_loss': 1.9310676506587436, 'val_accuracy': 0.3994360902255639, 'val_precision': 0.32502987131911387, 'val_recall': 0.34196918767507, 'val_f1': 0.32287411789436843, 'val_image_accuracy': 0.4342105263157895, 'val_image_precision': 0.34629629629629627, 'val_image_recall': 0.3733333333333333, 'val_image_f1': 0.34091197691197694}
2026-09-12 05:04:55,798 | INFO | src.trainer.trainer | Epoch 15/60 val_f1=0.32287411789436843 val_image_f1=0.34091197691197694
2026-09-12 05:04:55,798 | INFO | src.trainer.trainer | Epoch 16/60 learning rate set to 8.63934e-05
2026-09-12 05:06:19,744 | INFO | src.trainer.trainer | Epoch 16/60 train_loss=0.561353
2026-09-12 05:06:24,219 | INFO | src.trainer.history | Epoch 16 metrics saved at 2026-09-12 05:06:24: {'train_loss': 0.5613534365950441, 'lr': 8.639341845107433e-05, 'val_loss': 1.9493170249282865, 'val_accuracy': 0.3898496240601504, 'val_precision': 0.3458638554465459, 'val_recall': 0.3359000933706816, 'val_f1': 0.33283584075297407, 'val_image_accuracy': 0.39473684210526316, 'val_image_precision': 0.3657575757575758, 'val_image_recall': 0.3404575163398693, 'val_image_f1': 0.33812116498141903}
2026-09-12 05:06:24,219 | INFO | src.trainer.trainer | Epoch 16/60 val_f1=0.33283584075297407 val_image_f1=0.33812116498141903
2026-09-12 05:06:24,219 | INFO | src.trainer.trainer | Epoch 17/60 learning rate set to 8.4633e-05
2026-09-12 05:07:48,034 | INFO | src.trainer.trainer | Epoch 17/60 train_loss=0.551809
2026-09-12 05:07:52,506 | INFO | src.trainer.history | Epoch 17 metrics saved at 2026-09-12 05:07:52: {'train_loss': 0.5518091812051863, 'lr': 8.463301205792675e-05, 'val_loss': 2.049372768088391, 'val_accuracy': 0.37763157894736843, 'val_precision': 0.3259154142883042, 'val_recall': 0.32371708683473394, 'val_f1': 0.3086995954086555, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.3761904761904762, 'val_image_recall': 0.3613725490196078, 'val_image_f1': 0.3402909881091843}
2026-09-12 05:07:52,506 | INFO | src.trainer.trainer | Epoch 17/60 val_f1=0.3086995954086555 val_image_f1=0.3402909881091843
2026-09-12 05:07:52,507 | INFO | src.trainer.trainer | Epoch 18/60 learning rate set to 8.27886e-05
2026-09-12 05:09:15,640 | INFO | src.trainer.trainer | Epoch 18/60 train_loss=0.541513
2026-09-12 05:09:20,118 | INFO | src.trainer.history | Epoch 18 metrics saved at 2026-09-12 05:09:20: {'train_loss': 0.5415131884018707, 'lr': 8.278860767257865e-05, 'val_loss': 1.810921798836916, 'val_accuracy': 0.431203007518797, 'val_precision': 0.35751618114750516, 'val_recall': 0.3689299719887955, 'val_f1': 0.34962062135513233, 'val_image_accuracy': 0.5, 'val_image_precision': 0.42146464646464643, 'val_image_recall': 0.4284313725490196, 'val_image_f1': 0.4016018075813513}
2026-09-12 05:09:20,118 | INFO | src.trainer.trainer | Epoch 18/60 val_f1=0.34962062135513233 val_image_f1=0.4016018075813513
2026-09-12 05:09:20,118 | INFO | src.trainer.trainer | Epoch 19/60 learning rate set to 8.08654e-05
2026-09-12 05:10:43,305 | INFO | src.trainer.trainer | Epoch 19/60 train_loss=0.530769
2026-09-12 05:10:47,780 | INFO | src.trainer.history | Epoch 19 metrics saved at 2026-09-12 05:10:47: {'train_loss': 0.5307690611243665, 'lr': 8.086543345964832e-05, 'val_loss': 1.9164183125011902, 'val_accuracy': 0.4037593984962406, 'val_precision': 0.3431325020600111, 'val_recall': 0.346218487394958, 'val_f1': 0.33287324928865536, 'val_image_accuracy': 0.4342105263157895, 'val_image_precision': 0.3683939393939394, 'val_image_recall': 0.37267973856209147, 'val_image_f1': 0.3539342830287518}
2026-09-12 05:10:47,780 | INFO | src.trainer.trainer | Epoch 19/60 val_f1=0.33287324928865536 val_image_f1=0.3539342830287518
2026-09-12 05:10:47,780 | INFO | src.trainer.trainer | Epoch 20/60 learning rate set to 7.88689e-05
2026-09-12 05:12:11,091 | INFO | src.trainer.trainer | Epoch 20/60 train_loss=0.522496
2026-09-12 05:12:15,568 | INFO | src.trainer.history | Epoch 20 metrics saved at 2026-09-12 05:12:15: {'train_loss': 0.5224957746189566, 'lr': 7.886894086538841e-05, 'val_loss': 1.8955607777251338, 'val_accuracy': 0.3969924812030075, 'val_precision': 0.35583180512048534, 'val_recall': 0.3415490196078431, 'val_f1': 0.33458239843097826, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.38711111111111113, 'val_image_recall': 0.3615686274509804, 'val_image_f1': 0.35470483005366726}
2026-09-12 05:12:15,568 | INFO | src.trainer.trainer | Epoch 20/60 val_f1=0.33458239843097826 val_image_f1=0.35470483005366726
2026-09-12 05:12:15,568 | INFO | src.trainer.trainer | Early stopping at epoch 20 (val_f1 did not improve for 12 evals)
2026-09-12 05:12:15,616 | INFO | src.trainer.trainer | Saved final model to logs/sweeps/quality_search_20260911_223833/ds2_geom/ds2_geom/model_final.pt
2026-09-12 05:12:15,617 | INFO | src.trainer.trainer | Best model is from epoch 8 (val_f1=0.3568)
2026-09-12 05:12:15,724 | INFO | src.trainer.trainer | Saved SWA model (best, 5 snapshots) to logs/sweeps/quality_search_20260911_223833/ds2_geom/ds2_geom/model_swa.pt
2026-09-12 05:12:23,086 | INFO | src.trainer.trainer | Held-out test of best epoch 8: {'test_loss': 1.3420674314530585, 'test_accuracy': 0.5228128460686601, 'test_precision': 0.5169498635236689, 'test_recall': 0.5309482943812733, 'test_f1': 0.5063703823172536, 'test_image_accuracy': 0.5271317829457365, 'test_image_precision': 0.512308242339202, 'test_image_recall': 0.5408784029038113, 'test_image_f1': 0.5064646464646464}
2026-09-12 05:12:34,892 | INFO | src.trainer.trainer | SWA (best, 5 snapshots) val score=0.3432255218867319
2026-09-12 05:12:34,896 | INFO | src.trainer.trainer | Run summary: {'selection_metric': 'val_f1', 'best_epoch': 8, 'best_score': 0.3568207819983482, 'stopped_epoch': 20, 'eval_test': 'end', 'best_val': {'val_loss': 1.7146684412669417, 'val_accuracy': 0.4182330827067669, 'val_precision': 0.3753679392520711, 'val_recall': 0.3644136321195145, 'val_f1': 0.3568207819983482, 'val_image_accuracy': 0.3684210526315789, 'val_image_precision': 0.34190402476780185, 'val_image_recall': 0.3162745098039215, 'val_image_f1': 0.31885078355666596}, 'best_test': {'test_loss': 1.3420674314530585, 'test_accuracy': 0.5228128460686601, 'test_precision': 0.5169498635236689, 'test_recall': 0.5309482943812733, 'test_f1': 0.5063703823172536, 'test_image_accuracy': 0.5271317829457365, 'test_image_precision': 0.512308242339202, 'test_image_recall': 0.5408784029038113, 'test_image_f1': 0.5064646464646464}, 'swa_val': {'swa_val_loss': 1.795646450707787, 'swa_val_accuracy': 0.406203007518797, 'swa_val_precision': 0.35905902740462997, 'swa_val_recall': 0.34897572362278245, 'swa_val_f1': 0.3432255218867319, 'swa_val_image_accuracy': 0.42105263157894735, 'swa_val_image_precision': 0.3942857142857143, 'swa_val_image_recall': 0.3633333333333333, 'swa_val_image_f1': 0.3547914451140258}, 'swa_test': {'swa_test_loss': 1.2894287223171685, 'swa_test_accuracy': 0.5429678848283499, 'swa_test_precision': 0.5417001290576076, 'swa_test_recall': 0.5476341494129413, 'swa_test_f1': 0.5307660570856294, 'swa_test_image_accuracy': 0.5736434108527132, 'swa_test_image_precision': 0.5747507974481658, 'swa_test_image_recall': 0.5794218304381644, 'swa_test_image_f1': 0.5607575340655582}, 'selected_weights': 'best', 'selected_test': {'test_loss': 1.3420674314530585, 'test_accuracy': 0.5228128460686601, 'test_precision': 0.5169498635236689, 'test_recall': 0.5309482943812733, 'test_f1': 0.5063703823172536, 'test_image_accuracy': 0.5271317829457365, 'test_image_precision': 0.512308242339202, 'test_image_recall': 0.5408784029038113, 'test_image_f1': 0.5064646464646464}, 'test_image_f1': 0.5064646464646464, 'test_f1': 0.5063703823172536, 'val_image_f1': 0.31885078355666596, 'val_f1': 0.3568207819983482, 'swa_val_score': 0.3432255218867319}
2026-09-12 05:12:34,896 | INFO | __main__ | Experiment finished at 2026-09-12 05:12:34
2026-09-12 05:12:34,962 | INFO | __main__ | Starting sweep run ds3_photo
