2026-09-12 06:27:45,751 | INFO | src.trainer.trainer | Epoch 13/60 val_f1=0.28671284177007406 val_image_f1=0.25786357786357783
2026-09-12 06:27:45,751 | INFO | src.trainer.trainer | Early stopping at epoch 13 (val_f1 did not improve for 12 evals)
2026-09-12 06:27:45,799 | INFO | src.trainer.trainer | Saved final model to logs/sweeps/quality_search_20260911_223833/ds2_geom_lr3e5/ds2_geom_lr3e5/model_final.pt
2026-09-12 06:27:45,800 | INFO | src.trainer.trainer | Best model is from epoch 1 (val_f1=0.3115)
2026-09-12 06:27:45,908 | INFO | src.trainer.trainer | Saved SWA model (best, 5 snapshots) to logs/sweeps/quality_search_20260911_223833/ds2_geom_lr3e5/ds2_geom_lr3e5/model_swa.pt
2026-09-12 06:27:53,271 | INFO | src.trainer.trainer | Held-out test of best epoch 1: {'test_loss': 1.2229035171559484, 'test_accuracy': 0.45625692137320045, 'test_precision': 0.551368749680355, 'test_recall': 0.438790755213156, 'test_f1': 0.40257603836727407, 'test_image_accuracy': 0.4418604651162791, 'test_image_precision': 0.35954510605673395, 'test_image_recall': 0.4186414311641172, 'test_image_f1': 0.3705096096863367}
2026-09-12 06:28:05,067 | INFO | src.trainer.trainer | SWA (best, 5 snapshots) val score=0.2631552238399241
2026-09-12 06:28:05,069 | INFO | src.trainer.trainer | Run summary: {'selection_metric': 'val_f1', 'best_epoch': 1, 'best_score': 0.31154152927497725, 'stopped_epoch': 13, 'eval_test': 'end', 'best_val': {'val_loss': 1.4352904316177941, 'val_accuracy': 0.418796992481203, 'val_precision': 0.3405541463024838, 'val_recall': 0.358422035480859, 'val_f1': 0.31154152927497725, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.349393665158371, 'val_image_recall': 0.3591503267973856, 'val_image_f1': 0.312987012987013}, 'best_test': {'test_loss': 1.2229035171559484, 'test_accuracy': 0.45625692137320045, 'test_precision': 0.551368749680355, 'test_recall': 0.438790755213156, 'test_f1': 0.40257603836727407, 'test_image_accuracy': 0.4418604651162791, 'test_image_precision': 0.35954510605673395, 'test_image_recall': 0.4186414311641172, 'test_image_f1': 0.3705096096863367}, 'swa_val': {'swa_val_loss': 1.6358269112450736, 'swa_val_accuracy': 0.3468045112781955, 'swa_val_precision': 0.2789194954692763, 'swa_val_recall': 0.2990401493930906, 'swa_val_f1': 0.2631552238399241, 'swa_val_image_accuracy': 0.35526315789473684, 'swa_val_image_precision': 0.2524374176548089, 'swa_val_image_recall': 0.30562091503267974, 'swa_val_image_f1': 0.2535984990619137}, 'swa_test': {'swa_test_loss': 1.1337495733865208, 'swa_test_accuracy': 0.5036544850498339, 'swa_test_precision': 0.5126064845576057, 'swa_test_recall': 0.49614602022297116, 'swa_test_f1': 0.49508249093420986, 'swa_test_image_accuracy': 0.5348837209302325, 'swa_test_image_precision': 0.5479773891538597, 'swa_test_image_recall': 0.5235701322271196, 'swa_test_image_f1': 0.5159599587506565}, 'selected_weights': 'best', 'selected_test': {'test_loss': 1.2229035171559484, 'test_accuracy': 0.45625692137320045, 'test_precision': 0.551368749680355, 'test_recall': 0.438790755213156, 'test_f1': 0.40257603836727407, 'test_image_accuracy': 0.4418604651162791, 'test_image_precision': 0.35954510605673395, 'test_image_recall': 0.4186414311641172, 'test_image_f1': 0.3705096096863367}, 'test_image_f1': 0.3705096096863367, 'test_f1': 0.40257603836727407, 'val_image_f1': 0.312987012987013, 'val_f1': 0.31154152927497725, 'swa_val_score': 0.2631552238399241}
2026-09-12 06:28:05,070 | INFO | __main__ | Experiment finished at 2026-09-12 06:28:05
2026-09-12 06:28:05,137 | INFO | __main__ | Best sweep run ds1_geom val_f1=0.3798 test_f1=0.5569187744996806 dir=logs/sweeps/quality_search_20260911_223833/ds1_geom/ds1_geom
